COUNTRY	TIMESTAMP	TIME	TIMEZONE	CITY_NAME	LAT	LON	TEMP	FEELS_LIKE	TEMP_MIN	TEMP_MAX	PRESSURE	SEA_LEVEL	GRND_LEVEL	HUMIDITY	WIND_SPEED	WIND_DIRECTION	RAIN_1H	RAIN_3H	SNOW_1H	SNOW_3H	CLOUDS_ALL	WEATHER_ID	WEATHER_MAIN	WEATHER_DESCRIPTION	WEATHER_ICON
Australia	2020-07-11	ACT	+09:30 UTC	Lithgow	52.586973	-2.12882	21.97875	22.566666667	20.9275	22.930416667	1032.291666667			71.833333333	2.114166667	93.75					25.541666667	792.833333	MACT	sky is clear	50d
Australia	2020-08-07	ACT	+09:30 UTC	Lithgow	52.586973	-2.12882	14.425	11.997083333	13.492916667	15.425833333	1019.833333333			71.416666667	3.1	316.666666667					19.458333333	800.958333	Clouds	sky is clear	04d
Australia	2020-07-07	ACT	+09:30 UTC	Newcastle	54.978252	-1.61778	14.37125	11.874166667	13.020833333	15.760833333	1016.5			76.166666667	3.637083333	210.291666667	0.248				56	739.083333	Rain	sky is clear	10n
Australia	2020-07-28	ACT	+09:30 UTC	Newcastle	54.978252	-1.61778	11.8425	9.050833333	9.970833333	13.486666667	1012.375			86.583333333	3.934583333	77.291666667	0.9483333333				97.208333333	576.208333	Rain	overcast clouds	10n
Australia	2020-06-09	ACT	+09:30 UTC	Perth	51.430921	-0.09365	15.156666667	12.305416667	12.680416667	17.4625	1031.125			45.291666667	1.896666667	126.541666667					46.625	802.166667	Clouds	sky is clear	04n
Australia	2020-07-05	ACT	+09:30 UTC	Perth	51.430921	-0.09365	13.927916667	10.66	12.909166667	14.907916667	1009.833333333			75.75	4.625	220.416666667	0.18				53.333333333	740.708333	Rain	sky is clear	10d
Australia	2020-08-01	ACT	+09:30 UTC	Perth	51.430921	-0.09365	16.510833333	14.7925	15.23625	17.633333333	1018.083333333			72.375	3.095833333	88.583333333	0.22				54.5	675.916667	Rain	sky is clear	10n
Australia	2020-08-03	ACT	+09:30 UTC	Albury	53.457595	-2.157838	14.937916667	12.5725	13.608333333	16.082916667	1020.833333333			87.916666667	4.683333333	253.75	1.415				46.5	777.041667	Rain	scattered clouds	10d
Australia	2020-06-30	ACT	+09:30 UTC	Sydney	52.954783	-1.158109	16.055	15.324583333	14.976666667	16.993333333	1005.166666667			84.25	2.495833333	210.833333333	0.22				73.916666667	765.208333	Rain	scattered clouds	10d
Australia	2020-07-22	ACT	+09:30 UTC	Sydney	52.954783	-1.158109	15.08125	14.92	13.8575	16.26	1016.5			91.125	1.8875	268.333333333					88.958333333	803.625000	Clouds	scattered clouds	04n
