COUNTRY	TIMESTAMP	TIME	TIMEZONE	CITY_NAME	LAT	LON	TEMP	FEELS_LIKE	TEMP_MIN	TEMP_MAX	PRESSURE	SEA_LEVEL	GRND_LEVEL	HUMIDITY	WIND_SPEED	WIND_DIRECTION	RAIN_1H	RAIN_3H	SNOW_1H	SNOW_3H	CLOUDS_ALL	WEATHER_ID	WEATHER_MAIN	WEATHER_DESCRIPTION	WEATHER_ICON
London	2019-06-09	UTC	+00:00 UTC	Newcastle upon Tyne	54.978252	-1.61778	12.79125	9.691666667	10.375	14.568333333	1016.25			74.75	3.7725	234.583333333					21.75	801.083333	Clouds	sky is clear	03d
London	2019-07-23	UTC	+00:00 UTC	Oxford	51.752021	-1.257726	23.879583333	23.67625	22.027083333	25.5375	1016.041666667			66.541666667	3.072916667	137.458333333	0.585				31.458333333	768.291667	Rain	sky is clear	50n
London	2019-08-13	UTC	+00:00 UTC	Birmingham	52.486243	-1.890401	14.965	12.182083333	13.427083333	16.347083333	1016			62	3.004166667	260.833333333					43.041666667	802.083333	Clouds	scattered clouds	04n
London	2019-06-11	UTC	+00:00 UTC	Bradford	53.795984	-1.759398	9.965833333	4.86125	8.321666667	11.449583333	1017.625			90.958333333	6.820833333	47.083333333					81.875	803.458333	Clouds	overcast clouds	04n
London	2019-06-22	UTC	+00:00 UTC	Bradford	53.795984	-1.759398	15.329166667	13.46	12.997083333	17.731666667	1020.791666667			65.5	2.170833333	158.75					65.666666667	802.916667	Clouds	scattered clouds	04n
London	2019-07-26	UTC	+00:00 UTC	Bradford	53.795984	-1.759398	21.10125	21.802083333	19.032083333	23.160416667	1009.541666667			75.75	2.125	224.166666667					54.208333333	790.666667	Rain	scattered clouds	09n
London	2019-07-11	UTC	+00:00 UTC	Greater London	51.430921	-0.09365	20.552916667	19.50125	18.930833333	22.416666667	1012.333333333			64.375	3.095833333	258.333333333					50.916666667	802.291667	Clouds	sky is clear	04n
London	2019-07-29	UTC	+00:00 UTC	Greater London	51.430921	-0.09365	19.6325	18.25875	17.4375	21.583333333	1008.583333333			66.291666667	3.2125	181.666666667					37.291666667	801.666667	Clouds	sky is clear	04n
London	2019-08-21	UTC	+00:00 UTC	Greater London	51.430921	-0.09365	16.326666667	14.44375	13.950416667	18.652916667	1025.875			71.541666667	3.133333333	212.916666667					57.5	802.416667	Clouds	sky is clear	04n
London	2019-07-19	UTC	+00:00 UTC	Greater Manchester	53.457595	-2.157838	15.504166667	14.99	13.835833333	16.94375	1006.083333333			87.041666667	2.279166667	106.25	1.5125				44.291666667	653.333333	Rain	sky is clear	10d
London	2019-07-21	UTC	+00:00 UTC	Greater Manchester	53.457595	-2.157838	17.47	16.160416667	15.53625	19.01875	1015.916666667			75.666666667	3.208333333	167.5	1.4				19.833333333	788.333333	Rain	sky is clear	10n
London	2019-08-15	UTC	+00:00 UTC	Leeds	53.800755	-1.549077	15.335833333	10.292083333	13.532083333	16.812083333	1008.708333333			75.083333333	7.604166667	248.75					48.333333333	747.750000	Rain	scattered clouds	10n
London	2019-08-10	UTC	+00:00 UTC	Sheffield	53.381129	-1.470085	16.715416667	12.16875	14.655416667	18.652916667	996.583333333			86	8.495833333	224.166666667	0.3242857143				55.208333333	714.166667	Rain	scattered clouds	10n
London	2019-08-12	UTC	+00:00 UTC	Sunderland	54.906869	-1.383801	12.51625	10.936666667	10.973333333	14.285	1010.708333333			85.541666667	2.316666667	285					54.291666667	790.666667	Rain	shower rain	09d
London	2019-08-09	UTC	+00:00 UTC	Liverpool	53.408371	-2.991573	18.921666667	16.4275	17.65	20.08625	993.958333333			81.541666667	6.1875	158.75	1.3				56.166666667	651.333333	Rain	scattered clouds	10n
London	2019-08-01	UTC	+00:00 UTC	Newcastle upon Tyne	54.978252	-1.61778	16.765	15.9725	15.293333333	18.17875	1017.125			93.708333333	3.820833333	293.75					67.5	755.750000	Rain	shower rain	09d
London	2019-08-12	UTC	+00:00 UTC	Nottingham	52.954783	-1.158109	13.623333333	11.162916667	11.654166667	15.44875	1014.458333333			72.041666667	2.9625	272.083333333					40.958333333	802.083333	Clouds	scattered clouds	04n
London	2019-06-04	UTC	+00:00 UTC	Oxford	51.752021	-1.257726	13.32875	11.30875	11.71125	14.75625	1004.416666667			87.583333333	3.455	157.083333333	1.02				61.541666667	691.875000	Rain	sky is clear	10d
London	2019-08-06	UTC	+00:00 UTC	Birmingham	52.486243	-1.890401	17.079583333	15.624583333	15.6625	18.543333333	1004.833333333			81.583333333	3.8	203.333333333	1.651666667				49.625	727.625000	Rain	shower rain	10d
London	2019-06-04	UTC	+00:00 UTC	Bradford	53.795984	-1.759398	12.377083333	10.295	10.695833333	14.083333333	1005.333333333			84.208333333	2.925	137.916666667					75.416666667	803.250000	Clouds	scattered clouds	04n
London	2019-06-02	UTC	+00:00 UTC	Greater London	51.430921	-0.09365	20.077083333	17.785416667	17.944166667	22.1625	1002.416666667			68.958333333	5.004166667	199.583333333					67.416666667	802.916667	Clouds	scattered clouds	04n
London	2019-08-30	UTC	+00:00 UTC	Greater London	51.430921	-0.09365	17.677083333	15.645416667	15.37875	19.75	1019.625			77.583333333	4.441666667	204.166666667					48.041666667	802.166667	Clouds	sky is clear	04n
London	2019-07-14	UTC	+00:00 UTC	Greater Manchester	53.457595	-2.157838	16.345416667	16.109583333	14.11875	18.407083333	1023.333333333			77.458333333	1.263333333	21.916666667					55.125	802.458333	Clouds	sky is clear	04n
London	2019-08-04	UTC	+00:00 UTC	Greater Manchester	53.457595	-2.157838	19.414166667	19.839166667	17.531666667	20.925416667	1010.666666667			78.375	1.883333333	91.25	0.25				18.833333333	763.958333	Rain	sky is clear	10d
London	2019-08-25	UTC	+00:00 UTC	Greater Manchester	53.457595	-2.157838	20.974583333	20.409583333	17.670833333	24.0625	1016.875			63.458333333	2.275	126.25					0.9583333333	800.000000	Clear	sky is clear	01n
London	2019-07-21	UTC	+00:00 UTC	Leeds	53.800755	-1.549077	17.244166667	15.399166667	15.457083333	18.9125	1016.541666667			73.708333333	3.683333333	209.583333333					34.583333333	776.541667	Rain	scattered clouds	10n
London	2019-08-28	UTC	+00:00 UTC	Oxford	51.752021	-1.257726	18.249583333	16.924166667	15.85125	20.393333333	1012.625			80.375	3.929166667	241.25	1.065				52.375	731.291667	Rain	scattered clouds	10n
London	2019-06-24	UTC	+00:00 UTC	Wolverhampton	52.586973	-2.12882	17.858846154	18.763461538	16.511923077	19.307307692	1015.538461538			88.576923077	1.480769231	141.923076923	0.914				75.230769231	738.192308	Rain	scattered clouds	50d
London	2019-08-19	UTC	+00:00 UTC	Wolverhampton	52.586973	-2.12882	14.964166667	12.67125	13.472916667	16.328333333	1011.583333333			74.375	3.4375	228.333333333	1.395				46.916666667	778.625000	Rain	shower rain	09d
London	2019-06-02	UTC	+00:00 UTC	Sheffield	53.381129	-1.470085	16.858333333	13.713333333	14.817083333	18.730833333	1007.125			77.541666667	5.845833333	208.333333333	0.25				63.291666667	765.000000	Rain	scattered clouds	10d
London	2019-07-10	UTC	+00:00 UTC	Sheffield	53.381129	-1.470085	17.745416667	16.857083333	15.618333333	19.62	1016.625			81.083333333	3.258333333	245.833333333					55	802.458333	Clouds	scattered clouds	04n
London	2019-07-18	UTC	+00:00 UTC	Sheffield	53.381129	-1.470085	16.525	15.0125	14.584166667	18.3125	1009.166666667			77.208333333	3.179166667	255.833333333	0.51				60.833333333	789.958333	Rain	scattered clouds	10d
London	2019-08-30	UTC	+00:00 UTC	Sunderland	54.906869	-1.383801	17.1775	15.072916667	15.999583333	18.332083333	1011.75			75.958333333	4.295833333	239.583333333					53.125	790.666667	Rain	shower rain	09d
London	2019-06-04	UTC	+00:00 UTC	Liverpool	53.408371	-2.991573	12.334166667	9.753333333	11.120416667	13.52125	1002.833333333			84.166666667	3.645833333	177.5	1.503333333				59.708333333	651.541667	Rain	scattered clouds	10n
London	2019-08-28	UTC	+00:00 UTC	Liverpool	53.408371	-2.991573	14.855	11.769166667	13.557083333	16.28375	1010.458333333			80.875	5.141666667	241.25	0.7057142857				46.416666667	713.875000	Rain	sky is clear	10d
London	2019-07-14	UTC	+00:00 UTC	Newcastle upon Tyne	54.978252	-1.61778	14.606666667	13.480833333	13.044583333	16.070833333	1024.25			87.583333333	2.691666667	79.166666667					53.041666667	797.250000	Fog	scattered clouds	50n
London	2019-08-12	UTC	+00:00 UTC	Newcastle upon Tyne	54.978252	-1.61778	11.959230769	9.886923077	9.798076923	14.111153846	1011.153846154			87.192307692	2.938461538	269.615384615					46.923076923	689.769231	Rain	shower rain	50n
London	2019-07-04	UTC	+00:00 UTC	Nottingham	52.954783	-1.158109	17.48	15.672083333	15.47125	19.249583333	1023.875			65.833333333	2.895833333	262.083333333					63.625	802.666667	Clouds	sky is clear	04n
London	2019-07-18	UTC	+00:00 UTC	Nottingham	52.954783	-1.158109	17.262083333	15.48375	14.94	18.892083333	1009.083333333			69.791666667	3.179166667	256.25					55.875	802.500000	Clouds	scattered clouds	04n
London	2019-06-26	UTC	+00:00 UTC	Birmingham	52.486243	-1.890401	14.0625	11.645	12.772916667	15.425416667	1028.541666667			91.583333333	4.645833333	47.916666667	0.25				85.625	782.458333	Rain	overcast clouds	50d
London	2019-06-25	UTC	+00:00 UTC	Bradford	53.795984	-1.759398	14.11	12.747083333	12.500416667	16.259583333	1021.541666667			99.791666667	3.804166667	34.583333333					87.916666667	803.833333	Clouds	overcast clouds	04n
London	2019-08-17	UTC	+00:00 UTC	Greater London	51.430921	-0.09365	18.132916667	16.0925	16.472916667	19.66625	1004.416666667			83.291666667	5.283333333	224.583333333	0.89				53.541666667	777.125000	Rain	scattered clouds	10n
London	2019-06-08	UTC	+00:00 UTC	Greater Manchester	53.457595	-2.157838	10.972083333	8.007916667	9.482083333	12.285416667	1007			90.958333333	4.129166667	206.25	0.8458333333				60.416666667	651.375000	Rain	sky is clear	10d
London	2019-07-26	UTC	+00:00 UTC	Greater Manchester	53.457595	-2.157838	20.57	21.247083333	18.492083333	22.746666667	1008.708333333			78.041666667	2.129166667	162.083333333	0.445				24.625	776.666667	Rain	sky is clear	10n
London	2019-07-14	UTC	+00:00 UTC	Leeds	53.800755	-1.549077	15.8032	15.0804	14.1792	17.5548	1024.36			82.28	2.168	52.4	0.25				43.6	761.520000	Rain	sky is clear	50n
London	2019-06-15	UTC	+00:00 UTC	Leeds	53.800755	-1.549077	12.4832	10.55	10.6564	14.1868	1010			89.44	3.1064	165.6	0.6333333333				47.4	711.800000	Rain	scattered clouds	50n
London	2019-08-05	UTC	+00:00 UTC	Oxford	51.752021	-1.257726	18.808333333	16.139166667	17.49875	20.08375	1008.541666667			69.333333333	4.9375	223.333333333	2.79				63.5	790.208333	Rain	scattered clouds	10n
London	2019-06-29	UTC	+00:00 UTC	Sheffield	53.381129	-1.470085	19.905	18.675416667	17.7875	22.3875	1014.916666667			75.541666667	4.41375	178.291666667					34.166666667	801.625000	Clouds	sky is clear	04n
London	2019-07-05	UTC	+00:00 UTC	Sunderland	54.906869	-1.383801	16.350416667	13.26125	14.692916667	18.074166667	1014.833333333			81.541666667	5.825	274.166666667					57.5	802.458333	Clouds	scattered clouds	04n
