COUNTRY	TIMESTAMP	TIME	TIMEZONE	CITY_NAME	LAT	LON	TEMP	FEELS_LIKE	TEMP_MIN	TEMP_MAX	PRESSURE	SEA_LEVEL	GRND_LEVEL	HUMIDITY	WIND_SPEED	WIND_DIRECTION	RAIN_1H	RAIN_3H	SNOW_1H	SNOW_3H	CLOUDS_ALL	WEATHER_ID	WEATHER_MAIN	WEATHER_DESCRIPTION	WEATHER_ICON
USA	2020-07-13	EST	-05:00 UTC	Miami	53.381129	-1.470085	16.167916667	14.515416667	14.427083333	17.612083333	1008.333333333			77.5	3.217916667	223.083333333					28.625	777.791667	Rain	sky is clear	09d
USA	2020-06-19	EST	-05:00 UTC	Chicago	54.906869	-1.383801	16.148333333	13.839166667	15.242083333	17.0825	1014.708333333			77.416666667	4.266666667	212.916666667					59.166666667	660.250000	Rain	scattered clouds	10d
USA	2020-07-21	EST	-05:00 UTC	Chicago	54.906869	-1.383801	14.41125	9.113333333	13.472083333	15.258333333	1004.458333333			69.875	7.220833333	254.583333333					47.25	766.958333	Rain	scattered clouds	09n
USA	2020-06-19	EST	-05:00 UTC	Austin	52.486243	-1.890401	15.482083333	13.387916667	14.852083333	16.084583333	1019.791666667			80.375	3.925416667	234.541666667	1.24				69.375	756.708333	Rain	scattered clouds	10n
USA	2020-08-31	EST	-05:00 UTC	Austin	52.486243	-1.890401	16.476666667	15.907083333	15.69375	17.181666667	1019.666666667			78.708333333	2.02375	259.916666667					86.25	803.666667	Clouds	overcast clouds	04n
USA	2020-08-13	EST	-05:00 UTC	Austin	52.486243	-1.890401	16.89625	15.209583333	16.205416667	17.675	1011.291666667			80.208333333	3.958333333	199.583333333					75.375	709.708333	Rain	overcast clouds	10n
USA	2020-07-06	EST	-05:00 UTC	Washington	53.795984	-1.759398	18.08875	16.024166667	16.249583333	19.675	1014.541666667			73.166666667	4.275	276.25					55.583333333	802.333333	Clouds	scattered clouds	04n
USA	2020-07-19	EST	-05:00 UTC	Washington	53.795984	-1.759398	18.045833333	16.650416667	16.517083333	19.3525	1007.25			75	3.591666667	192.916666667	0.2				55.166666667	707.250000	Rain	overcast clouds	10d
USA	2020-07-16	EST	-05:00 UTC	Las Vegas	54.978252	-1.61778	16.185416667	13.320833333	13.520833333	18.280833333	1012.541666667			63.625	3.816666667	232.083333333					46.916666667	802.125000	Clouds	scattered clouds	04n
USA	2020-08-07	EST	-05:00 UTC	Las Vegas	54.978252	-1.61778	15.272083333	13.614583333	13.633333333	16.804166667	1008.291666667			84.666666667	3.575	37.5					57.5	715.583333	Rain	scattered clouds	50n
USA	2020-06-23	EST	-05:00 UTC	New York	52.954783	-1.158109	13.96375	12.942083333	13.215833333	14.911666667	1022.708333333			82.375	1.905416667	190	0.335				86.958333333	753.125000	Rain	scattered clouds	10n
USA	2020-07-15	EST	-05:00 UTC	New York	52.954783	-1.158109	14.91	11.8425	14.1	15.857916667	1011.875			65.666666667	3.770833333	246.666666667					75.333333333	803.166667	Clouds	scattered clouds	04n
USA	2020-07-10	EST	-05:00 UTC	Boston	51.430921	-0.09365	19.437916667	16.929583333	18.066666667	20.59875	1023.75			60	3.9125	39.166666667					29.083333333	801.375000	Clouds	sky is clear	04d
USA	2020-07-12	EST	-05:00 UTC	Boston	51.430921	-0.09365	19.0825	17.5025	18.251666667	19.872916667	1017.041666667			71.458333333	3.829166667	39.583333333					31.333333333	798.000000	Haze	sky is clear	50d
USA	2020-08-21	EST	-05:00 UTC	Boston	51.430921	-0.09365	14.227083333	11.085833333	13.055	15.26125	1025.083333333			58.458333333	3.029166667	53.75					31.875	801.500000	Clouds	sky is clear	04n
USA	2020-06-20	EST	-05:00 UTC	Los Angeles	53.457595	-2.157838	12.365416667	8.192916667	11.470416667	13.161666667	1011.875			75.458333333	5.358333333	273.75	1.03				52.166666667	682.708333	Rain	scattered clouds	10n
USA	2020-08-20	EST	-05:00 UTC	Seattle	53.408371	-2.991573	13.178333333	10.918333333	11.852083333	14.587916667	1022.333333333			72.75	2.575	117.083333333					27.083333333	801.375000	Clouds	sky is clear	04n
USA	2020-06-15	EST	-05:00 UTC	Cambridge	52.586973	-2.12882	16.4368	15.5876	15.4812	17.3552	1026.08			79.64	2.4308	214.68					66.2	792.120000	MEST	mEST	50n
USA	2020-07-23	EST	-05:00 UTC	Cambridge	52.586973	-2.12882	16.8825	14.80125	15.964166667	17.709166667	1025.291666667			70.708333333	3.624166667	264.125					26.583333333	801.208333	Clouds	sky is clear	04n
USA	2020-07-26	EST	-05:00 UTC	Dallas	51.752021	-1.257726	16.201666667	11.573333333	15.05	17.394166667	1024.375			57.708333333	5.695833333	48.75					38.791666667	763.708333	Rain	sky is clear	10n
USA	2020-06-13	EST	-05:00 UTC	Miami	53.381129	-1.470085	13.786666667	11.662916667	12.454583333	14.991666667	1022.958333333			72.958333333	2.557083333	241.5					53.708333333	798.000000	MEST	sky is clear	50d
USA	2020-06-17	EST	-05:00 UTC	Chicago	54.906869	-1.383801	13.674583333	9.908333333	12.412083333	15.020833333	1022.125			64.041666667	4.395833333	185.833333333	0.155				38.625	763.833333	Rain	sky is clear	10n
USA	2020-07-16	EST	-05:00 UTC	Austin	52.486243	-1.890401	17.066666667	14.805	16.3125	17.903333333	1016.875			74.666666667	4.266666667	231.666666667					51.666666667	802.250000	Clouds	scattered clouds	04n
USA	2020-06-07	EST	-05:00 UTC	Austin	52.486243	-1.890401	10.633333333	8.265416667	9.772916667	11.587083333	1009.583333333			85.5	2.813333333	264.625	0.13				57.791666667	694.750000	Rain	sky is clear	10d
USA	2020-07-08	EST	-05:00 UTC	Washington	53.795984	-1.759398	20.37625	19.536666667	18.95625	21.6625	1029.666666667			73.333333333	3.683333333	262.083333333					51.541666667	802.208333	Clouds	overcast clouds	04n
USA	2020-07-27	EST	-05:00 UTC	Las Vegas	54.978252	-1.61778	13.245	10.936666667	11.233333333	15.30125	1028.208333333			67.416666667	2.32375	150.125					3.708333333	800.166667	Clouds	sky is clear	03n
USA	2020-08-09	EST	-05:00 UTC	New York	52.954783	-1.158109	15.2275	14.150416667	13.995833333	16.6575	1001.791666667			92.75	3.385416667	79	1.031052632				96.166666667	538.250000	Rain	overcast clouds	10n
USA	2020-07-09	EST	-05:00 UTC	Boston	51.430921	-0.09365	19.875833333	17.5725	18.230833333	21.199583333	1028.583333333			61.375	4.116666667	82.916666667					33.5	801.458333	Clouds	sky is clear	04n
USA	2020-07-19	EST	-05:00 UTC	Boston	51.430921	-0.09365	19.852916667	17.830416667	18.312083333	21.216666667	1010.458333333			60.791666667	3.67875	230.833333333	0.3266666667				53.541666667	764.583333	Rain	scattered clouds	10n
USA	2020-07-24	EST	-05:00 UTC	Boston	51.430921	-0.09365	21.552083333	19.953333333	19.932083333	22.845	1022.791666667			54.416666667	2.796666667	224.333333333					5.583333333	800.250000	Clouds	sky is clear	02d
USA	2020-08-22	EST	-05:00 UTC	Boston	51.430921	-0.09365	14.485833333	11.177083333	13.34375	15.382083333	1022.875			62.583333333	3.833333333	68.75	0.22				43.583333333	789.291667	Rain	scattered clouds	10d
USA	2020-07-05	EST	-05:00 UTC	Los Angeles	53.457595	-2.157838	17.4625	17.121666667	16.41	18.167083333	1009.125			76.708333333	1.88625	192.541666667					38.375	789.875000	Rain	light intensity shower rain	09d
USA	2020-08-30	EST	-05:00 UTC	Los Angeles	53.457595	-2.157838	13.918333333	12.2325	13.272083333	14.431666667	1019.333333333			80.875	2.68875	245.541666667					80	786.333333	MEST	overcast clouds	50n
USA	2020-06-25	EST	-05:00 UTC	Leeds	53.800755	-1.549077	16.484583333	13.7825	15.022083333	17.745833333	1021.083333333			57.916666667	3.054166667	140.833333333					13.333333333	800.666667	Clouds	sky is clear	03n
USA	2020-08-04	EST	-05:00 UTC	Cambridge	52.586973	-2.12882	19.076	19.556	18.1976	19.8964	1009.48			82.12	1.9472	107.28					75	677.800000	Thunderstorm	thunderstorm with rain	50n
USA	2020-08-14	EST	-05:00 UTC	Dallas	51.752021	-1.257726	15.93875	13.349166667	14.776666667	16.874583333	1002.458333333			72.291666667	4.05	256.666666667	2.12				41.666666667	789.375000	Rain	scattered clouds	10d
USA	2020-07-20	EST	-05:00 UTC	Dallas	51.752021	-1.257726	17.667307692	14.386538462	16.838461538	18.51	1007.192307692			76.230769231	6.123076923	228.076923077					54.538461538	690.769231	Rain	scattered clouds	10n
USA	2020-08-24	EST	-05:00 UTC	Miami	53.381129	-1.470085	14.448333333	11.25625	13.197916667	15.504166667	1019.083333333			75.791666667	4.645833333	77.5					70.833333333	767.500000	Rain	overcast clouds	09d
USA	2020-08-05	EST	-05:00 UTC	Chicago	54.906869	-1.383801	17.105416667	16.63375	15.754166667	18.59375	1009.416666667			89.708333333	3.190833333	127.583333333					53.125	691.416667	Rain	scattered clouds	50n
USA	2020-08-11	EST	-05:00 UTC	Chicago	54.906869	-1.383801	12.338333333	9.1825	10.979166667	13.862916667	1021.5			60.083333333	2.75	167.083333333					58.833333333	790.000000	Rain	scattered clouds	10n
USA	2020-06-29	EST	-05:00 UTC	Washington	53.795984	-1.759398	13.704166667	10.808333333	12.15125	14.995833333	1009.208333333			65.916666667	3.166666667	244.166666667					35.083333333	801.583333	Clouds	sky is clear	04d
USA	2020-08-16	EST	-05:00 UTC	Washington	53.795984	-1.759398	13.400833333	10.78	11.455	14.791666667	1005.375			74.333333333	3.354166667	253.75	0.45				27.375	765.291667	Rain	shower rain	10d
USA	2020-07-29	EST	-05:00 UTC	Washington	53.795984	-1.759398	16.79375	15.122083333	14.9675	18.33875	1022.875			72.25	3.204166667	101.666666667					48.333333333	798.791667	Haze	sky is clear	50n
USA	2020-07-03	EST	-05:00 UTC	New York	52.954783	-1.158109	18.866666667	17.937083333	18.1875	19.637083333	1005.958333333			78.458333333	3.561666667	189.375	0.7377777778				91.25	690.000000	Rain	overcast clouds	10n
USA	2020-08-23	EST	-05:00 UTC	New York	52.954783	-1.158109	14.674583333	11.50625	13.820416667	15.687916667	1020.375			69.583333333	4.175	74.583333333	0.662				79.875	740.208333	Rain	scattered clouds	10n
USA	2020-06-01	EST	-05:00 UTC	Leeds	53.800755	-1.549077	15.465	13.6275	14.17875	16.512083333	1019.458333333			65.75	2.25375	215.541666667					49.041666667	802.208333	Clouds	scattered clouds	04n
USA	2020-08-09	EST	-05:00 UTC	Leeds	53.800755	-1.549077	13.554166667	11.44	12.45625	14.707083333	1003.708333333			90.208333333	3.9125	241.25					55	479.041667	Rain	rain and drizzle	10n
USA	2020-08-24	EST	-05:00 UTC	Leeds	53.800755	-1.549077	14.325	11.063333333	13.347916667	15.1975	1019.833333333			72.708333333	4.454166667	85.833333333					53.458333333	789.750000	Rain	scattered clouds	10n
USA	2020-06-19	EST	-05:00 UTC	Seattle	53.408371	-2.991573	16.265416667	12.384166667	15.210416667	17.165	1017.791666667			89.25	7.583333333	231.666666667	1.05				97.708333333	715.458333	Rain	overcast clouds	10n
USA	2020-07-23	EST	-05:00 UTC	Seattle	53.408371	-2.991573	16.159166667	13.262083333	14.364583333	18.10125	1025.25			83.375	5.7875	275.833333333					38.625	801.875000	Clouds	sky is clear	04n
USA	2020-06-02	EST	-05:00 UTC	Cambridge	52.586973	-2.12882	13.723333333	10.814583333	12.940416667	14.612916667	1004.25			92.583333333	5.304166667	131.25					80.833333333	640.333333	Rain	shower rain	50d
USA	2020-06-16	EST	-05:00 UTC	Cambridge	52.586973	-2.12882	17.60625	16.35125	16.54625	18.70875	1023.083333333			73.25	2.873333333	224.666666667					36	801.583333	Clouds	sky is clear	04n
USA	2020-06-21	EST	-05:00 UTC	Miami	53.381129	-1.470085	11.6925	7.389583333	10.5	12.720416667	1018.541666667			61.833333333	4.358333333	292.916666667					30.208333333	801.375000	Clouds	sky is clear	04d
USA	2020-08-19	EST	-05:00 UTC	Miami	53.381129	-1.470085	13.597083333	10.49375	12.479166667	14.4225	1007.625			75.708333333	4.233333333	303.333333333	0.6466666667				68	703.458333	Rain	scattered clouds	10n
USA	2020-08-21	EST	-05:00 UTC	Miami	53.381129	-1.470085	12.566666667	9.8975	11.445416667	13.654166667	1026.333333333			65.625	2.480416667	100.458333333					53.583333333	802.375000	Clouds	scattered clouds	04n
USA	2020-08-20	EST	-05:00 UTC	Chicago	54.906869	-1.383801	11.6975	7.006666667	10.8875	12.83375	1022.5			73.916666667	5.7625	267.916666667					56.166666667	781.416667	Drizzle	scattered clouds	09n
USA	2020-08-29	EST	-05:00 UTC	Austin	52.486243	-1.890401	16.708333333	15.7375	15.904583333	17.64625	1020.416666667			80.791666667	2.805833333	207.791666667					57.791666667	798.208333	MEST	sky is clear	50d
USA	2020-06-15	EST	-05:00 UTC	Washington	53.795984	-1.759398	17.090833333	15.42125	15.45625	18.5125	1025.25			69.875	2.960833333	232.958333333					50.333333333	802.125000	Clouds	overcast clouds	04n
USA	2020-06-28	EST	-05:00 UTC	Las Vegas	54.978252	-1.61778	11.782083333	8.835416667	9.404166667	13.53875	1001.333333333			67.666666667	2.829166667	217.083333333	0.14				33.291666667	728.708333	Rain	scattered clouds	10d
USA	2020-07-18	EST	-05:00 UTC	Las Vegas	54.978252	-1.61778	16.849166667	15.94	14.233333333	18.877916667	1011.791666667			75.75	2.395833333	162.5					41.458333333	768.291667	Rain	scattered clouds	10d
USA	2020-08-06	EST	-05:00 UTC	Las Vegas	54.978252	-1.61778	17.130833333	16.47375	15.052916667	18.8625	1010.583333333			82.5	2.720833333	142.916666667					52.458333333	735.291667	MEST	sky is clear	50n
USA	2020-06-24	EST	-05:00 UTC	Las Vegas	54.978252	-1.61778	14.022083333	11.945833333	11.504166667	16.284583333	1025.666666667			65.791666667	1.9325	166.416666667					29.458333333	776.875000	Smoke	smoke	50n
USA	2020-06-17	EST	-05:00 UTC	New York	52.954783	-1.158109	14.680416667	12.33	13.519583333	16.0125	1022.875			70.541666667	3.075	231.666666667					79.333333333	803.500000	Clouds	scattered clouds	04n
USA	2020-08-01	EST	-05:00 UTC	New York	52.954783	-1.158109	21.716666667	21.59375	20.31625	23.129166667	1014.75			67.916666667	2.262083333	113.208333333	0.29				34.625	777.500000	Rain	sky is clear	10d
USA	2020-06-03	EST	-05:00 UTC	New York	52.954783	-1.158109	13.57	10.828333333	12.679166667	14.560833333	1002.25			85.375	4.45	214.166666667	0.48				79.458333333	752.875000	Rain	overcast clouds	10n
USA	2020-06-04	EST	-05:00 UTC	Los Angeles	53.457595	-2.157838	11.6624	7.5044	10.658	12.4512	999.8			75.48	5.04	214					59.2	714.120000	Rain	mEST	50n
USA	2020-06-05	EST	-05:00 UTC	Leeds	53.800755	-1.549077	10.930416667	7.730833333	9.706666667	12.094166667	999.5			62.083333333	2.553333333	194.833333333					23.208333333	777.875000	Rain	scattered clouds	09n
USA	2020-07-25	EST	-05:00 UTC	Leeds	53.800755	-1.549077	16.098333333	13.36	14.949166667	17.29	1022.708333333			61.833333333	3.45	205.833333333					38.375	801.791667	Clouds	scattered clouds	04n
USA	2020-07-18	EST	-05:00 UTC	Seattle	53.408371	-2.991573	18.614166667	17.11625	17.20125	20.169166667	1012.666666667			81.833333333	4.687083333	209.5	0.19				85.208333333	790.833333	Rain	scattered clouds	10n
USA	2020-08-12	EST	-05:00 UTC	Cambridge	52.586973	-2.12882	15.944166667	15.355416667	14.978333333	17.179583333	1019.791666667			82.666666667	2.107083333	154.291666667	0.11				60.125	758.458333	Rain	scattered clouds	50n
